Category,Category | Sub-Category,City,Country,Customer ID,Customer Name,Order Date,Order ID,Period,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Selection,Ship Date,Ship Mode,State,Sub-Category,Type Of Area,Costs,Discount,Profit,Profitable or not?,Quantity,S C P,Sales
Office Supplies,Art,San Francisco,United States,ZD-21925,Zuschuss Donatelli,2020-02-02,CA-2014-143336,0,94109,OFF-AR-10003056,Newell 341,West,19,Consumer,WEST,2024-01-25,Second Class,California,Art,,6.0776,0.0,2.4824,Yes,2,8.56,8.56
Technology,Phones,San Francisco,United States,ZD-21925,Zuschuss Donatelli,2020-02-02,CA-2014-143336,0,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,20,Consumer,WEST,2024-01-25,Second Class,California,Phones,,197.469,0.2,16.011,Yes,3,213.48,213.48
Office Supplies,Binders,San Francisco,United States,ZD-21925,Zuschuss Donatelli,2020-02-03,CA-2014-143336,0,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,21,Consumer,WEST,2024-01-25,Second Class,California,Binders,,15.336,0.2,7.384,Yes,4,22.72,22.72
Office Supplies,Art,Fremont,United States,KB-16585,Ken Black,2020-02-05,CA-2016-137330,0,68025,OFF-AR-10000246,Newell 318,Central,22,Corporate,CENTRAL,2024-01-25,Standard Class,Nebraska,Art,,14.4004,0.0,5.0596,Yes,7,19.46,19.46
Office Supplies,Appliances,Fremont,United States,KB-16585,Ken Black,2020-02-05,CA-2016-137330,0,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,23,Corporate,CENTRAL,2024-01-24,Standard Class,Nebraska,Appliances,,44.6516,0.0,15.6884,Yes,7,60.34,60.34
Furniture,Chairs,Philadelphia,United States,SF-20065,Sandra Flanagan,2020-02-05,US-2017-156909,0,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",East,24,Consumer,EAST,2024-01-24,Second Class,Pennsylvania,Chairs,,72.3916,0.3,-1.0196,No,2,71.372,71.372
Furniture,Tables,Orem,United States,EB-13870,Emily Burns,2020-02-05,CA-2015-106320,0,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,25,Consumer,WEST,2024-01-24,Standard Class,Utah,Tables,,804.3651,0.0,240.2649,Yes,3,1044.63,1044.63
Office Supplies,Binders,Los Angeles,United States,EH-13945,Eric Hoffmann,2020-02-05,CA-2016-121755,0,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,West,26,Consumer,WEST,2024-01-24,Second Class,California,Binders,,7.4256,0.2,4.2224,Yes,2,11.648,11.648
Technology,Accessories,Los Angeles,United States,EH-13945,Eric Hoffmann,2020-02-05,CA-2016-121755,0,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,27,Consumer,WEST,2024-01-24,Second Class,California,Accessories,,78.7959,0.0,11.7741,Yes,3,90.57,90.57
Furniture,Bookcases,Philadelphia,United States,TB-21520,Tracy Blumstein,2020-02-05,US-2015-150630,0,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,28,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Bookcases,,4748.4822,0.5,-1665.0522,No,7,3083.43,3083.43
Office Supplies,Binders,Philadelphia,United States,TB-21520,Tracy Blumstein,2020-02-05,US-2015-150630,0,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,East,29,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Binders,,16.6712,0.7,-7.0532,No,2,9.618,9.618
Furniture,Furnishings,Philadelphia,United States,TB-21520,Tracy Blumstein,2020-02-05,US-2015-150630,0,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,30,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Furnishings,,108.675,0.2,15.525,Yes,3,124.2,124.2
Office Supplies,Envelopes,Philadelphia,United States,TB-21520,Tracy Blumstein,2020-02-05,US-2015-150630,0,19140,OFF-EN-10001509,Poly String Tie Envelopes,East,31,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Envelopes,,2.1624,0.2,1.1016,Yes,2,3.264,3.264
Office Supplies,Art,Philadelphia,United States,TB-21520,Tracy Blumstein,2020-02-05,US-2015-150630,0,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,32,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Art,,76.5948,0.2,9.7092,Yes,6,86.304,86.304
Office Supplies,Binders,Philadelphia,United States,TB-21520,Tracy Blumstein,2020-02-06,US-2015-150630,0,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,33,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Binders,,12.573,0.7,-5.715,No,6,6.858,6.858
Office Supplies,Art,Philadelphia,United States,TB-21520,Tracy Blumstein,2020-02-07,US-2015-150630,0,19140,OFF-AR-10001683,Lumber Crayons,East,34,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Art,,12.214,0.2,3.546,Yes,2,15.76,
Office Supplies,Paper,Houston,United States,MA-17560,Matt Abelman,2020-02-08,CA-2017-107727,0,77095,OFF-PA-10000249,Easy-staple paper,Central,35,Home Office,CENTRAL,2024-01-24,Second Class,Texas,Paper,,19.5252,0.2,9.9468,Yes,3,29.472,29.472
Technology,Phones,Richardson,United States,GH-14485,Gene Hale,2020-02-08,CA-2016-117590,0,75080,TEC-PH-10004977,GE 30524EE4,Central,36,Corporate,CENTRAL,2024-01-24,First Class,Texas,Phones,,974.0703,0.2,123.4737,Yes,7,1097.544,1097.544
Furniture,Furnishings,Richardson,United States,GH-14485,Gene Hale,2020-02-08,CA-2016-117590,0,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,37,Corporate,CENTRAL,2024-01-24,First Class,Texas,Furnishings,,338.883,0.6,-147.963,No,5,190.92,190.92
Office Supplies,Envelopes,Houston,United States,SN-20710,Steve Nguyen,2020-02-08,CA-2015-117415,0,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,38,Home Office,CENTRAL,2024-01-24,Standard Class,Texas,Envelopes,,77.913,0.2,35.415,Yes,9,113.328,113.328
Furniture,Bookcases,Houston,United States,SN-20710,Steve Nguyen,2020-02-10,CA-2015-117415,0,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,39,Home Office,CENTRAL,2024-01-24,Standard Class,Texas,Bookcases,,579.3756,0.32,-46.9764,No,3,532.3992,532.3992
Furniture,Chairs,Houston,United States,SN-20710,Steve Nguyen,2020-02-11,CA-2015-117415,0,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Central,40,Home Office,CENTRAL,2024-01-24,Standard Class,Texas,Chairs,,227.205,0.3,-15.147,No,3,212.058,
Technology,Phones,Houston,United States,SN-20710,Steve Nguyen,2020-02-11,CA-2015-117415,0,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Central,41,Home Office,CENTRAL,2024-01-24,Standard Class,Texas,Phones,,329.4116,0.2,41.7564,Yes,4,371.168,371.168
Technology,Phones,Naperville,United States,LC-16930,Linda Cazamias,2020-02-11,CA-2017-120999,0,60540,TEC-PH-10004093,Panasonic Kx-TS550,Central,42,Corporate,CENTRAL,2024-01-24,Standard Class,Illinois,Phones,,130.6116,0.2,16.5564,Yes,4,147.168,147.168
Office Supplies,Storage,Los Angeles,United States,RA-19885,Ruben Ausman,2020-02-11,CA-2016-101343,0,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",West,43,Corporate,WEST,2024-01-23,Standard Class,California,Storage,,73.986,0.0,3.894,Yes,2,77.88,
Office Supplies,Storage,Melbourne,United States,ES-14080,Erin Smith,2020-02-12,CA-2017-139619,0,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,44,Corporate,SOUTH,2024-01-23,Standard Class,Florida,Storage,,86.0544,0.2,9.5616,Yes,2,95.616,95.616
Technology,Accessories,Eagan,United States,ON-18715,Odella Nelson,2020-02-12,CA-2016-118255,0,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,45,Corporate,CENTRAL,2024-01-23,First Class,Minnesota,Accessories,,26.2086,0.0,19.7714,Yes,2,45.98,45.98
Office Supplies,Binders,Eagan,United States,ON-18715,Odella Nelson,2020-02-12,CA-2016-118255,0,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,46,Corporate,CENTRAL,2024-01-23,First Class,Minnesota,Binders,,9.2538,0.0,8.2062,Yes,2,17.46,17.46
Office Supplies,Storage,Westland,United States,PO-18865,Patrick O'Donnell,2020-02-12,CA-2014-146703,0,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,47,Consumer,CENTRAL,2024-01-23,Second Class,Michigan,Storage,,203.4816,0.0,8.4784,Yes,4,211.96,211.96
Technology,Accessories,Dover,United States,LH-16900,Lena Hernandez,2020-02-12,CA-2016-169194,0,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,48,Consumer,EAST,2024-01-23,Standard Class,Delaware,Accessories,,40.05,0.0,4.95,Yes,3,45.0,45.0
Technology,Phones,Dover,United States,LH-16900,Lena Hernandez,2020-02-12,CA-2016-169194,0,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,49,Consumer,EAST,2024-01-22,Standard Class,Delaware,Phones,,15.696,0.0,6.104,Yes,2,21.8,
Office Supplies,Binders,New Albany,United States,DP-13000,Darren Powers,2020-02-12,CA-2015-115742,0,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,50,Consumer,CENTRAL,2024-01-22,Standard Class,Indiana,Binders,,20.2566,0.0,17.9634,Yes,6,38.22,38.22
Office Supplies,Labels,New Albany,United States,DP-13000,Darren Powers,2020-02-12,CA-2015-115742,0,47150,OFF-LA-10002762,Avery 485,Central,51,Consumer,CENTRAL,2024-01-22,Standard Class,Indiana,Labels,,39.8454,0.0,35.3346,Yes,6,75.18,75.18
Furniture,Furnishings,New Albany,United States,DP-13000,Darren Powers,2020-02-12,CA-2015-115742,0,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,52,Consumer,CENTRAL,2024-01-22,Standard Class,Indiana,Furnishings,,3.2032,0.0,2.9568,Yes,2,6.16,6.16
Furniture,Chairs,New Albany,United States,DP-13000,Darren Powers,2020-02-12,CA-2015-115742,0,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Central,53,Consumer,CENTRAL,2024-01-22,Standard Class,Indiana,Chairs,,72.8919,0.0,17.0981,Yes,1,89.99,89.99
Office Supplies,Fasteners,New York City,United States,JM-15265,Janet Molinari,2020-02-12,CA-2016-105816,0,10024,OFF-FA-10000304,Advantus Push Pins,East,54,Corporate,EAST,2024-01-22,Standard Class,New York,Fasteners,,9.0034,0.0,6.2566,Yes,7,15.26,15.26
Technology,Phones,New York City,United States,JM-15265,Janet Molinari,2020-02-12,CA-2016-105816,0,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,East,55,Corporate,EAST,2024-01-22,Standard Class,New York,Phones,,731.2645,0.0,298.6855,Yes,5,1029.95,1029.95
Office Supplies,Storage,Troy,United States,TB-21055,Ted Butterfield,2020-02-12,CA-2016-111682,0,12180,OFF-ST-10000604,Home/Office Personal File Carts,East,56,Consumer,EAST,2024-01-22,First Class,New York,Storage,,156.42,0.0,52.14,Yes,6,208.56,208.56
Office Supplies,Paper,Troy,United States,TB-21055,Ted Butterfield,2020-02-12,CA-2016-111682,0,12180,OFF-PA-10001569,Xerox 232,East,57,Consumer,EAST,2024-01-21,First Class,New York,Paper,,16.848,0.0,15.552,Yes,5,32.4,32.4
Furniture,Chairs,Troy,United States,TB-21055,Ted Butterfield,2020-02-12,CA-2016-111682,0,12180,FUR-CH-10003968,Novimex Turbo Task Chair,East,58,Consumer,EAST,2024-01-21,First Class,New York,Chairs,,312.312,0.1,7.098,Yes,5,319.41,319.41
Office Supplies,Paper,Troy,United States,TB-21055,Ted Butterfield,2020-02-12,CA-2016-111682,0,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",East,59,Consumer,EAST,2024-01-21,First Class,New York,Paper,,7.5712,0.0,6.9888,Yes,2,14.56,14.56
Technology,Accessories,Troy,United States,TB-21055,Ted Butterfield,2020-02-12,CA-2016-111682,0,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,60,Consumer,EAST,2024-01-21,First Class,New York,Accessories,,26.7,0.0,3.3,Yes,2,30.0,30.0
Office Supplies,Binders,Troy,United States,TB-21055,Ted Butterfield,2020-02-13,CA-2016-111682,0,12180,OFF-BI-10001460,Plastic Binding Combs,East,61,Consumer,EAST,2024-01-21,First Class,New York,Binders,,32.118,0.2,16.362,Yes,4,48.48,48.48
Office Supplies,Art,Troy,United States,TB-21055,Ted Butterfield,2020-02-15,CA-2016-111682,0,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,East,62,Consumer,EAST,2024-01-21,First Class,New York,Art,,0.84,0.0,0.84,Yes,1,1.68,1.68
Technology,Accessories,Los Angeles,United States,KM-16720,Kunst Miller,2020-02-15,CA-2015-135545,0,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,63,Consumer,WEST,2024-01-21,Standard Class,California,Accessories,,7.8288,0.0,6.1512,Yes,2,13.98,13.98
Office Supplies,Binders,Los Angeles,United States,KM-16720,Kunst Miller,2020-02-18,CA-2015-135545,0,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,64,Consumer,WEST,2024-01-21,Standard Class,California,Binders,,16.4628,0.2,9.3612,Yes,6,25.824,25.824
Office Supplies,Paper,Los Angeles,United States,KM-16720,Kunst Miller,2020-02-18,CA-2015-135545,0,90004,OFF-PA-10003892,Xerox 1943,West,65,Consumer,WEST,2024-01-21,Standard Class,California,Paper,,77.7669,0.0,68.9631,Yes,3,146.73,146.73
Furniture,Furnishings,Los Angeles,United States,KM-16720,Kunst Miller,2020-02-18,CA-2015-135545,0,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,66,Consumer,WEST,2024-01-21,Standard Class,California,Furnishings,,57.4272,0.0,22.3328,Yes,4,79.76,79.76
Furniture,Chairs,Chicago,United States,PS-18970,Paul Stevenson,2020-02-18,US-2015-164175,0,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Central,67,Home Office,CENTRAL,2024-01-21,Standard Class,Illinois,Chairs,,228.3375,0.3,-15.2225,No,5,213.115,213.115
Office Supplies,Art,Gilbert,United States,BS-11590,Brendan Sweed,2020-02-18,CA-2014-106376,0,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,68,Corporate,WEST,2024-01-21,Standard Class,Arizona,Art,,1001.7216,0.2,111.3024,Yes,8,1113.024,1113.024
Technology,Phones,Gilbert,United States,BS-11590,Brendan Sweed,2020-02-18,CA-2014-106376,0,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,69,Corporate,WEST,2024-01-20,Standard Class,Arizona,Phones,,104.98,0.2,62.988,Yes,4,167.968,167.968
Office Supplies,Paper,Springfield,United States,KD-16270,Karen Daniels,2020-02-18,CA-2016-119823,0,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,70,Consumer,SOUTH,2024-01-20,First Class,Virginia,Paper,,40.2164,0.0,35.6636,Yes,2,75.88,75.88
Office Supplies,Binders,New York City,United States,HM-14980,Henry MacAllister,2020-02-18,CA-2016-106075,0,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,East,71,Consumer,EAST,2024-01-20,Standard Class,New York,Binders,,2.885,0.2,1.731,Yes,1,4.616,4.616
Office Supplies,Paper,Jackson,United States,TB-21520,Tracy Blumstein,2020-02-18,CA-2017-114440,0,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,72,Consumer,CENTRAL,2024-01-20,Second Class,Michigan,Paper,,10.287,0.0,8.763,Yes,3,19.05,19.05
Furniture,Chairs,Memphis,United States,JE-15745,Joel Eaton,2020-02-19,US-2015-134026,0,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,South,73,Consumer,SOUTH,2024-01-20,Standard Class,Tennessee,Chairs,,946.3272,0.2,-114.3912,No,8,831.936,831.936
Furniture,Furnishings,Memphis,United States,JE-15745,Joel Eaton,2020-02-19,US-2015-134026,0,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,74,Consumer,SOUTH,2024-01-20,Standard Class,Tennessee,Furnishings,,95.827,0.2,1.213,Yes,2,97.04,97.04
Office Supplies,Storage,Memphis,United States,JE-15745,Joel Eaton,2020-02-19,US-2015-134026,0,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,South,75,Consumer,SOUTH,2024-01-20,Standard Class,Tennessee,Storage,,90.98,0.2,-18.196,No,1,72.784,72.784
Office Supplies,Binders,Houston,United States,KB-16600,Ken Brennan,2020-02-20,US-2017-118038,0,77041,OFF-BI-10004182,Economy Binders,Central,76,Corporate,CENTRAL,2024-01-20,First Class,Texas,Binders,,3.1824,0.8,-1.9344,No,3,1.248,1.248
Furniture,Furnishings,Houston,United States,KB-16600,Ken Brennan,2020-02-22,US-2017-118038,0,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Central,77,Corporate,CENTRAL,2024-01-20,First Class,Texas,Furnishings,,15.5328,0.6,-5.8248,No,3,9.708,9.708
Office Supplies,Storage,Houston,United States,KB-16600,Ken Brennan,2020-02-22,US-2017-118038,0,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,78,Corporate,CENTRAL,2024-01-20,First Class,Texas,Storage,,24.516,0.2,2.724,Yes,3,27.24,27.24
Furniture,Furnishings,Houston,United States,JE-15745,Joel Eaton,2020-02-23,US-2014-147606,0,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,79,Consumer,CENTRAL,2024-01-20,Second Class,Texas,Furnishings,,33.775,0.6,-14.475,No,5,19.3,19.3
Office Supplies,Appliances,Decatur,United States,SC-20770,Stewart Carmichael,2020-02-24,CA-2016-127208,0,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,80,Corporate,SOUTH,2024-01-20,First Class,Alabama,Appliances,,151.9568,0.0,56.2032,Yes,1,208.16,208.16
Office Supplies,Binders,Decatur,United States,SC-20770,Stewart Carmichael,2020-02-25,CA-2016-127208,0,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,South,81,Corporate,SOUTH,2024-01-20,First Class,Alabama,Binders,,8.7048,0.0,8.0352,Yes,3,16.74,16.74
Office Supplies,Art,San Francisco,United States,DN-13690,Duane Noonan,2020-02-25,CA-2014-139451,0,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,82,Consumer,WEST,2024-01-20,Standard Class,California,Art,,10.728,0.0,4.172,Yes,5,14.9,14.9
Office Supplies,Storage,San Francisco,United States,DN-13690,Duane Noonan,2020-02-25,CA-2014-139451,0,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,83,Consumer,WEST,2024-01-20,Standard Class,California,Storage,,15.1869,0.0,6.2031,Yes,1,21.39,21.39
Office Supplies,Envelopes,Durham,United States,JC-16105,Julie Creighton,2020-02-26,CA-2015-149734,0,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,84,Corporate,SOUTH,2024-01-20,Standard Class,North Carolina,Envelopes,,138.1765,0.2,62.8075,Yes,7,200.984,200.984
Office Supplies,Storage,Chicago,United States,CS-12400,Christopher Schild,2020-02-26,US-2017-119662,0,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Central,85,Home Office,CENTRAL,2024-01-20,First Class,Illinois,Storage,,279.3309,0.2,-48.9549,No,3,230.376,230.376
Furniture,Chairs,Columbia,United States,PO-18865,Patrick O'Donnell,2020-02-27,CA-2017-140088,0,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,South,86,Consumer,SOUTH,2024-01-20,Second Class,South Carolina,Chairs,,268.7444,0.0,33.2156,Yes,2,301.96,301.96
Technology,Accessories,Rochester,United States,PG-18895,Paul Gonzalez,2020-02-27,CA-2017-155558,0,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,87,Consumer,CENTRAL,2024-01-20,Standard Class,Minnesota,Accessories,,13.1934,0.0,6.7966,Yes,1,19.99,19.99
Office Supplies,Labels,Rochester,United States,PG-18895,Paul Gonzalez,2020-02-27,CA-2017-155558,0,55901,OFF-LA-10000134,Avery 511,Central,88,Consumer,CENTRAL,2024-01-20,Standard Class,Minnesota,Labels,,3.2032,0.0,2.9568,Yes,2,6.16,6.16
Office Supplies,Storage,Houston,United States,GM-14455,Gary Mitchum,2020-02-29,CA-2016-159695,0,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,Central,89,Home Office,CENTRAL,2024-01-20,Second Class,Texas,Storage,,144.5108,0.2,13.8572,Yes,7,158.368,158.368
