Row_ID,Order_Date,Category,City,Country,Customer_ID,Customer_Name,Order_ID,Period,Postal_Code,Product_ID,Product Name,Region,Segment,Selection,Ship_Date,Ship_Mode,State,Sub_Category,Costs,Discount,Profit,Profitable?,Quantity,SCP,Sales
11,2020-01-29,Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,CA-2014-115812,0,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,Consumer,WEST,2024-01-26,Standard Class,California,Tables,1620.875,0.2,85.309,Yes,9,1706.184,1706.184
12,2020-01-29,Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,CA-2014-115812,0,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,Consumer,WEST,2024-01-26,Standard Class,California,Phones,843.067,0.2,68.357,Yes,4,911.424,911.424
13,2020-01-29,Office Supplies,Concord,United States,AA-10480,Andrew Allen,CA-2017-114412,0,28027,OFF-PA-10002365,Xerox 1967,South,Consumer,SOUTH,2024-01-26,Standard Class,North Carolina,Paper,10.109,0.2,5.443,Yes,3,15.552,15.552
14,2020-01-29,Office Supplies,Seattle,United States,IM-15070,Irene Maddox,CA-2016-161389,0,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,Consumer,WEST,2024-01-26,Standard Class,Washington,Binders,275.384,0.2,132.592,Yes,3,407.976,407.976
15,2020-01-30,Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,US-2015-118983,0,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Home Office,CENTRAL,2024-01-25,Standard Class,Texas,Appliances,192.668,0.8,-123.858,No,5,68.81,68.81
16,2020-01-30,Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,US-2015-118983,0,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,Home Office,CENTRAL,2024-01-25,Standard Class,Texas,Binders,6.36,0.8,-3.816,No,3,2.544,2.544
17,2020-02-01,Office Supplies,Madison,United States,PK-19075,Pete Kriz,CA-2014-105893,0,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,Consumer,CENTRAL,2024-01-25,Standard Class,Wisconsin,Storage,652.562,0.0,13.318,Yes,6,665.88,261.421
18,2020-02-01,Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,CA-2014-167164,0,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,Consumer,WEST,2024-01-25,Second Class,Utah,Storage,45.51,0.0,9.99,Yes,2,55.5,55.5
19,2020-02-02,Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,CA-2014-143336,0,94109,OFF-AR-10003056,Newell 341,West,Consumer,WEST,2024-01-25,Second Class,California,Art,6.078,0.0,2.482,Yes,2,8.56,8.56
20,2020-02-02,Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,CA-2014-143336,0,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,Consumer,WEST,2024-01-25,Second Class,California,Phones,197.469,0.2,16.011,Yes,3,213.48,213.48
21,2020-02-03,Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,CA-2014-143336,0,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,Consumer,WEST,2024-01-25,Second Class,California,Binders,15.336,0.2,7.384,Yes,4,22.72,22.72
22,2020-02-05,Office Supplies,Fremont,United States,KB-16585,Ken Black,CA-2016-137330,0,68025,OFF-AR-10000246,Newell 318,Central,Corporate,CENTRAL,2024-01-25,Standard Class,Nebraska,Art,14.4,0.0,5.06,Yes,7,19.46,19.46
23,2020-02-05,Office Supplies,Fremont,United States,KB-16585,Ken Black,CA-2016-137330,0,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,Corporate,CENTRAL,2024-01-24,Standard Class,Nebraska,Appliances,44.652,0.0,15.688,Yes,7,60.34,60.34
24,2020-02-05,Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,US-2017-156909,0,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",East,Consumer,EAST,2024-01-24,Second Class,Pennsylvania,Chairs,72.392,0.3,-1.02,No,2,71.372,71.372
25,2020-02-05,Furniture,Orem,United States,EB-13870,Emily Burns,CA-2015-106320,0,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,Consumer,WEST,2024-01-24,Standard Class,Utah,Tables,804.365,0.0,240.265,Yes,3,1044.63,1044.63
26,2020-02-05,Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,CA-2016-121755,0,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,West,Consumer,WEST,2024-01-24,Second Class,California,Binders,7.426,0.2,4.222,Yes,2,11.648,11.648
27,2020-02-05,Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,CA-2016-121755,0,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,Consumer,WEST,2024-01-24,Second Class,California,Accessories,78.796,0.0,11.774,Yes,3,90.57,90.57
28,2020-02-05,Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,US-2015-150630,0,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Bookcases,4748.482,0.5,-1665.052,No,7,3083.43,3083.43
29,2020-02-05,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,US-2015-150630,0,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,East,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Binders,16.671,0.7,-7.053,No,2,9.618,9.618
30,2020-02-05,Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,US-2015-150630,0,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Furnishings,108.675,0.2,15.525,Yes,3,124.2,124.2
31,2020-02-05,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,US-2015-150630,0,19140,OFF-EN-10001509,Poly String Tie Envelopes,East,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Envelopes,2.162,0.2,1.102,Yes,2,3.264,3.264
32,2020-02-05,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,US-2015-150630,0,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Art,76.595,0.2,9.709,Yes,6,86.304,86.304
33,2020-02-06,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,US-2015-150630,0,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Binders,12.573,0.7,-5.715,No,6,6.858,6.858
34,2020-02-07,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,US-2015-150630,0,19140,OFF-AR-10001683,Lumber Crayons,East,Consumer,EAST,2024-01-24,Standard Class,Pennsylvania,Art,12.214,0.2,3.546,Yes,2,15.76,33.827
35,2020-02-08,Office Supplies,Houston,United States,MA-17560,Matt Abelman,CA-2017-107727,0,77095,OFF-PA-10000249,Easy-staple paper,Central,Home Office,CENTRAL,2024-01-24,Second Class,Texas,Paper,19.525,0.2,9.947,Yes,3,29.472,29.472
36,2020-02-08,Technology,Richardson,United States,GH-14485,Gene Hale,CA-2016-117590,0,75080,TEC-PH-10004977,GE 30524EE4,Central,Corporate,CENTRAL,2024-01-24,First Class,Texas,Phones,974.07,0.2,123.474,Yes,7,1097.544,1097.544
37,2020-02-08,Furniture,Richardson,United States,GH-14485,Gene Hale,CA-2016-117590,0,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,Corporate,CENTRAL,2024-01-24,First Class,Texas,Furnishings,338.883,0.6,-147.963,No,5,190.92,190.92
38,2020-02-08,Office Supplies,Houston,United States,SN-20710,Steve Nguyen,CA-2015-117415,0,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,Home Office,CENTRAL,2024-01-24,Standard Class,Texas,Envelopes,77.913,0.2,35.415,Yes,9,113.328,113.328
39,2020-02-10,Furniture,Houston,United States,SN-20710,Steve Nguyen,CA-2015-117415,0,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,Home Office,CENTRAL,2024-01-24,Standard Class,Texas,Bookcases,579.376,0.32,-46.976,No,3,532.399,532.399
40,2020-02-11,Furniture,Houston,United States,SN-20710,Steve Nguyen,CA-2015-117415,0,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Central,Home Office,CENTRAL,2024-01-24,Standard Class,Texas,Chairs,227.205,0.3,-15.147,No,3,212.058,543.726
41,2020-02-11,Technology,Houston,United States,SN-20710,Steve Nguyen,CA-2015-117415,0,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Central,Home Office,CENTRAL,2024-01-24,Standard Class,Texas,Phones,329.412,0.2,41.756,Yes,4,371.168,371.168
42,2020-02-11,Technology,Naperville,United States,LC-16930,Linda Cazamias,CA-2017-120999,0,60540,TEC-PH-10004093,Panasonic Kx-TS550,Central,Corporate,CENTRAL,2024-01-24,Standard Class,Illinois,Phones,130.612,0.2,16.556,Yes,4,147.168,147.168
43,2020-02-11,Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,CA-2016-101343,0,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",West,Corporate,WEST,2024-01-23,Standard Class,California,Storage,73.986,0.0,3.894,Yes,2,77.88,261.421
44,2020-02-12,Office Supplies,Melbourne,United States,ES-14080,Erin Smith,CA-2017-139619,0,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,Corporate,SOUTH,2024-01-23,Standard Class,Florida,Storage,86.054,0.2,9.562,Yes,2,95.616,95.616
45,2020-02-12,Technology,Eagan,United States,ON-18715,Odella Nelson,CA-2016-118255,0,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,Corporate,CENTRAL,2024-01-23,First Class,Minnesota,Accessories,26.209,0.0,19.771,Yes,2,45.98,45.98
46,2020-02-12,Office Supplies,Eagan,United States,ON-18715,Odella Nelson,CA-2016-118255,0,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,Corporate,CENTRAL,2024-01-23,First Class,Minnesota,Binders,9.254,0.0,8.206,Yes,2,17.46,17.46
47,2020-02-12,Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,CA-2014-146703,0,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,Consumer,CENTRAL,2024-01-23,Second Class,Michigan,Storage,203.482,0.0,8.478,Yes,4,211.96,211.96
48,2020-02-12,Technology,Dover,United States,LH-16900,Lena Hernandez,CA-2016-169194,0,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,EAST,2024-01-23,Standard Class,Delaware,Accessories,40.05,0.0,4.95,Yes,3,45.0,45.0
49,2020-02-12,Technology,Dover,United States,LH-16900,Lena Hernandez,CA-2016-169194,0,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,Consumer,EAST,2024-01-22,Standard Class,Delaware,Phones,15.696,0.0,6.104,Yes,2,21.8,360.541
50,2020-02-12,Office Supplies,New Albany,United States,DP-13000,Darren Powers,CA-2015-115742,0,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,Consumer,CENTRAL,2024-01-22,Standard Class,Indiana,Binders,20.257,0.0,17.963,Yes,6,38.22,38.22
51,2020-02-12,Office Supplies,New Albany,United States,DP-13000,Darren Powers,CA-2015-115742,0,47150,OFF-LA-10002762,Avery 485,Central,Consumer,CENTRAL,2024-01-22,Standard Class,Indiana,Labels,39.845,0.0,35.335,Yes,6,75.18,75.18
52,2020-02-12,Furniture,New Albany,United States,DP-13000,Darren Powers,CA-2015-115742,0,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,Consumer,CENTRAL,2024-01-22,Standard Class,Indiana,Furnishings,3.203,0.0,2.957,Yes,2,6.16,6.16
53,2020-02-12,Furniture,New Albany,United States,DP-13000,Darren Powers,CA-2015-115742,0,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Central,Consumer,CENTRAL,2024-01-22,Standard Class,Indiana,Chairs,72.892,0.0,17.098,Yes,1,89.99,89.99
54,2020-02-12,Office Supplies,New York City,United States,JM-15265,Janet Molinari,CA-2016-105816,0,10024,OFF-FA-10000304,Advantus Push Pins,East,Corporate,EAST,2024-01-22,Standard Class,New York,Fasteners,9.003,0.0,6.257,Yes,7,15.26,15.26
55,2020-02-12,Technology,New York City,United States,JM-15265,Janet Molinari,CA-2016-105816,0,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,East,Corporate,EAST,2024-01-22,Standard Class,New York,Phones,731.264,0.0,298.686,Yes,5,1029.95,1029.95
56,2020-02-12,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,CA-2016-111682,0,12180,OFF-ST-10000604,Home/Office Personal File Carts,East,Consumer,EAST,2024-01-22,First Class,New York,Storage,156.42,0.0,52.14,Yes,6,208.56,208.56
57,2020-02-12,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,CA-2016-111682,0,12180,OFF-PA-10001569,Xerox 232,East,Consumer,EAST,2024-01-21,First Class,New York,Paper,16.848,0.0,15.552,Yes,5,32.4,32.4
58,2020-02-12,Furniture,Troy,United States,TB-21055,Ted Butterfield,CA-2016-111682,0,12180,FUR-CH-10003968,Novimex Turbo Task Chair,East,Consumer,EAST,2024-01-21,First Class,New York,Chairs,312.312,0.1,7.098,Yes,5,319.41,319.41
59,2020-02-12,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,CA-2016-111682,0,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",East,Consumer,EAST,2024-01-21,First Class,New York,Paper,7.571,0.0,6.989,Yes,2,14.56,14.56
60,2020-02-12,Technology,Troy,United States,TB-21055,Ted Butterfield,CA-2016-111682,0,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,EAST,2024-01-21,First Class,New York,Accessories,26.7,0.0,3.3,Yes,2,30.0,30.0
61,2020-02-13,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,CA-2016-111682,0,12180,OFF-BI-10001460,Plastic Binding Combs,East,Consumer,EAST,2024-01-21,First Class,New York,Binders,32.118,0.2,16.362,Yes,4,48.48,48.48
62,2020-02-15,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,CA-2016-111682,0,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,East,Consumer,EAST,2024-01-21,First Class,New York,Art,0.84,0.0,0.84,Yes,1,1.68,1.68
63,2020-02-15,Technology,Los Angeles,United States,KM-16720,Kunst Miller,CA-2015-135545,0,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,Consumer,WEST,2024-01-21,Standard Class,California,Accessories,7.829,0.0,6.151,Yes,2,13.98,13.98
64,2020-02-18,Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,CA-2015-135545,0,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,Consumer,WEST,2024-01-21,Standard Class,California,Binders,16.463,0.2,9.361,Yes,6,25.824,25.824
65,2020-02-18,Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,CA-2015-135545,0,90004,OFF-PA-10003892,Xerox 1943,West,Consumer,WEST,2024-01-21,Standard Class,California,Paper,77.767,0.0,68.963,Yes,3,146.73,146.73
66,2020-02-18,Furniture,Los Angeles,United States,KM-16720,Kunst Miller,CA-2015-135545,0,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,Consumer,WEST,2024-01-21,Standard Class,California,Furnishings,57.427,0.0,22.333,Yes,4,79.76,79.76
67,2020-02-18,Furniture,Chicago,United States,PS-18970,Paul Stevenson,US-2015-164175,0,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Central,Home Office,CENTRAL,2024-01-21,Standard Class,Illinois,Chairs,228.338,0.3,-15.222,No,5,213.115,213.115
68,2020-02-18,Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,CA-2014-106376,0,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,Corporate,WEST,2024-01-21,Standard Class,Arizona,Art,1001.722,0.2,111.302,Yes,8,1113.024,1113.024
69,2020-02-18,Technology,Gilbert,United States,BS-11590,Brendan Sweed,CA-2014-106376,0,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,Corporate,WEST,2024-01-20,Standard Class,Arizona,Phones,104.98,0.2,62.988,Yes,4,167.968,167.968
70,2020-02-18,Office Supplies,Springfield,United States,KD-16270,Karen Daniels,CA-2016-119823,0,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,Consumer,SOUTH,2024-01-20,First Class,Virginia,Paper,40.216,0.0,35.664,Yes,2,75.88,75.88
71,2020-02-18,Office Supplies,New York City,United States,HM-14980,Henry MacAllister,CA-2016-106075,0,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,East,Consumer,EAST,2024-01-20,Standard Class,New York,Binders,2.885,0.2,1.731,Yes,1,4.616,4.616
72,2020-02-18,Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,CA-2017-114440,0,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,Consumer,CENTRAL,2024-01-20,Second Class,Michigan,Paper,10.287,0.0,8.763,Yes,3,19.05,19.05
73,2020-02-19,Furniture,Memphis,United States,JE-15745,Joel Eaton,US-2015-134026,0,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,South,Consumer,SOUTH,2024-01-20,Standard Class,Tennessee,Chairs,946.327,0.2,-114.391,No,8,831.936,831.936
74,2020-02-19,Furniture,Memphis,United States,JE-15745,Joel Eaton,US-2015-134026,0,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,Consumer,SOUTH,2024-01-20,Standard Class,Tennessee,Furnishings,95.827,0.2,1.213,Yes,2,97.04,97.04
75,2020-02-19,Office Supplies,Memphis,United States,JE-15745,Joel Eaton,US-2015-134026,0,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,South,Consumer,SOUTH,2024-01-20,Standard Class,Tennessee,Storage,90.98,0.2,-18.196,No,1,72.784,72.784
76,2020-02-20,Office Supplies,Houston,United States,KB-16600,Ken Brennan,US-2017-118038,0,77041,OFF-BI-10004182,Economy Binders,Central,Corporate,CENTRAL,2024-01-20,First Class,Texas,Binders,3.182,0.8,-1.934,No,3,1.248,1.248
77,2020-02-22,Furniture,Houston,United States,KB-16600,Ken Brennan,US-2017-118038,0,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Central,Corporate,CENTRAL,2024-01-20,First Class,Texas,Furnishings,15.533,0.6,-5.825,No,3,9.708,9.708
78,2020-02-22,Office Supplies,Houston,United States,KB-16600,Ken Brennan,US-2017-118038,0,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,Corporate,CENTRAL,2024-01-20,First Class,Texas,Storage,24.516,0.2,2.724,Yes,3,27.24,27.24
79,2020-02-23,Furniture,Houston,United States,JE-15745,Joel Eaton,US-2014-147606,0,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,Consumer,CENTRAL,2024-01-20,Second Class,Texas,Furnishings,33.775,0.6,-14.475,No,5,19.3,19.3
80,2020-02-24,Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,CA-2016-127208,0,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,Corporate,SOUTH,2024-01-20,First Class,Alabama,Appliances,151.957,0.0,56.203,Yes,1,208.16,208.16
81,2020-02-25,Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,CA-2016-127208,0,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,South,Corporate,SOUTH,2024-01-20,First Class,Alabama,Binders,8.705,0.0,8.035,Yes,3,16.74,16.74
82,2020-02-25,Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,CA-2014-139451,0,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,Consumer,WEST,2024-01-20,Standard Class,California,Art,10.728,0.0,4.172,Yes,5,14.9,14.9
83,2020-02-25,Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,CA-2014-139451,0,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,Consumer,WEST,2024-01-20,Standard Class,California,Storage,15.187,0.0,6.203,Yes,1,21.39,21.39
84,2020-02-26,Office Supplies,Durham,United States,JC-16105,Julie Creighton,CA-2015-149734,0,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,Corporate,SOUTH,2024-01-20,Standard Class,North Carolina,Envelopes,138.176,0.2,62.808,Yes,7,200.984,200.984
85,2020-02-26,Office Supplies,Chicago,United States,CS-12400,Christopher Schild,US-2017-119662,0,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Central,Home Office,CENTRAL,2024-01-20,First Class,Illinois,Storage,279.331,0.2,-48.955,No,3,230.376,230.376
86,2020-02-27,Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,CA-2017-140088,0,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,South,Consumer,SOUTH,2024-01-20,Second Class,South Carolina,Chairs,268.744,0.0,33.216,Yes,2,301.96,301.96
87,2020-02-27,Technology,Rochester,United States,PG-18895,Paul Gonzalez,CA-2017-155558,0,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,Consumer,CENTRAL,2024-01-20,Standard Class,Minnesota,Accessories,13.193,0.0,6.797,Yes,1,19.99,19.99
88,2020-02-27,Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,CA-2017-155558,0,55901,OFF-LA-10000134,Avery 511,Central,Consumer,CENTRAL,2024-01-20,Standard Class,Minnesota,Labels,3.203,0.0,2.957,Yes,2,6.16,6.16
89,2020-02-29,Office Supplies,Houston,United States,GM-14455,Gary Mitchum,CA-2016-159695,0,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,Central,Home Office,CENTRAL,2024-01-20,Second Class,Texas,Storage,144.511,0.2,13.857,Yes,7,158.368,158.368
90,2020-02-29,Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,CA-2016-109806,0,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,West,Corporate,WEST,2024-01-20,Standard Class,California,Art,13.467,0.0,6.633,Yes,3,20.1,20.1
91,2020-02-29,Technology,Los Angeles,United States,JS-15685,Jim Sink,CA-2016-109806,0,90036,TEC-PH-10004093,Panasonic Kx-TS550,West,Corporate,WEST,2024-01-20,Standard Class,California,Phones,65.306,0.2,8.278,Yes,2,73.584,73.584
92,2020-02-29,Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,CA-2016-109806,0,90036,OFF-PA-10000304,Xerox 1995,West,Corporate,WEST,2024-01-19,Standard Class,California,Paper,3.37,0.0,3.11,Yes,1,6.48,6.48
93,2020-03-01,Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,CA-2015-149587,0,55407,OFF-PA-10003177,Xerox 1999,Central,Consumer,CENTRAL,2024-01-19,Second Class,Minnesota,Paper,6.739,0.0,6.221,Yes,2,12.96,12.96
94,2020-03-01,Furniture,Minneapolis,United States,KB-16315,Karl Braun,CA-2015-149587,0,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Central,Consumer,CENTRAL,2024-01-19,Second Class,Minnesota,Furnishings,36.805,0.0,16.535,Yes,3,53.34,53.34
